a|Det,N
abroad|Adv,Adj
absence|N
absolute|Adj,N
absolutely|Adv
academic|Adj,N
accept|V
accompany|V
accomplish|V
according|Prep,V
accurate|Adj
achievement|N
acknowledge|V
active|Adj
activist|N
activity|N
actually|Adv
addition|N
additional|Adj
adequate|Adj
adjustment|N
administration|N
administrator|N
admire|V
admission|N
adolescent|N
adopt|V
advanced|V
advantage|N
adventure|N
advertising|V
advise|V
adviser|N
advocate|V,N
affect|V,N
after|Prep,Adv
afternoon|N
against|Prep,Adv
agency|N
agenda|N
aggressive|Adj
ago|Adv,Adj
agreement|N
agricultural|Adj
aid|N,V
aide|N
aircraft|N
airline|N
alive|Adj
alliance|N
ally|N,V
along|Prep,Adv
alternative|Adj
although|Conj
an|Det
analysis|N
analyze|V
and|Conj
anniversary|N
anticipate|V
anybody|Pron
anymore|Adv
anyone|Pron
anything|Pron,N
anyway|Adv
anywhere|Adv,N
apartment|N
apparent|Adj
apparently|Adv
appeal|N
appearance|N
application|N
apply|V
appoint|V
appointment|N
appreciate|V
approach|N,V
appropriate|Adj
approval|N
approximately|Adv
architect|N
are|V
argument|N
arise|V
arrangement|N
arrival|N
article|N
artistic|Adj
aside|Adv,N
asleep|Adj
assert|V
assess|V
assessment|N
assign|V
assignment|N
assistance|N
assistant|N
associate|V
association|N
assumption|N
assure|V
athletic|Adj
atmosphere|N
attach|V
attempt|N
attention|N
attorney|N
attractive|Adj
attribute|N,V
audience|N
authority|N
available|Adj
award|N
awareness|N
back|N,V,Adj,Adv
background|N
bad|Adj
badly|Adv
bake|V,N
ban|N
band|N
bank|N
barrier|N
baseball|N
basically|Adv
basis|N
basketball|N
bathroom|N
battery|N
bear|N
beat|N
beautiful|Adj
bed|V
bedroom|N
beer|N
beginning|N,V
behavior|N
being|N,V
belief|N
bell|N
belong|V
bend|V
beneath|Prep,Adv
beside|Prep,Adv
besides|N
bet|N
big|Adj
bill|N
billion|N
biological|Adj
birthday|N
bit|N
bite|N
block|N
blow|N
bombing|N,V
bond|N
boom|N
boot|N
born|V,Adj
both|Det,Pron
bother|V
bottle|N
boundary|N
bowl|N
boyfriend|N
branch|N
break|N
breakfast|N
breast|N
breath|N
breathe|N
briefly|Adv
brilliant|Adj
broad|Adj
buck|N
building|N,V
bunch|N
burn|V
bury|V
but|Conj
button|N
buy|V
cabinet|N
calculate|V
campaign|N
campus|N
cancer|N
candidate|N
cap|N
capability|N
capacity|N
capture|V,N
care|N,V
career|N
careful|Adj
carefully|Adv
carrier|N
cast|N
celebrate|V
celebration|N
celebrity|N
cell|N
center|N
central|Adj
ceremony|N
certainly|Adv
chain|N
chairman|N
challenge|N,V
chamber|N
championship|N
chance|N
changing|Adj,V
channel|N
character|N
characteristic|Adj
characterize|V
charity|N
chart|N
cheek|N
chemical|Adj
childhood|N
chip|N
chocolate|V
cholesterol|N
church|N
cigarette|N
circumstance|N
cite|V
civilian|N
class|N
classic|Adj
classroom|N
clear|Adj
clearly|Adv
climate|N
clinical|Adj
closely|Adv
closer|N
clothes|N
clothing|N
clue|N
coal|N
coalition|N
coat|N
cognitive|Adj
cold|Adj
collapse|V,N
colleague|N
collection|N
collective|Adj
college|N
colonial|Adj
combination|N
comedy|N
comfortable|Adj
command|N
commander|N
comment|N,V
commercial|Adj
commission|N
commit|N
commitment|N
committee|N
communicate|V
communication|N
community|N
compare|V
comparison|N
compete|V
competition|N
competitive|Adj
competitor|N
complain|V
complaint|N
complete|Adj
completely|Adv
complex|Adj
complicated|Adj,V
component|N
compose|N
composition|N
comprehensive|Adj
computer|N
concentrate|V
concentration|N
concept|N
concern|N
concerned|Adj,V
conclude|V
conclusion|N
concrete|N
condition|N
conference|N
confidence|N
confident|Adj
conflict|N
confront|N
confusion|N
congressional|Adj
connection|N
consciousness|N
consensus|N
consequence|N
conservative|Adj
considerable|Adj
consideration|N
consist|V
consistent|N
constant|Adj
constantly|Adv
constitute|V
constitutional|Adj
construct|V,N
construction|N
consultant|N
consume|V
consumer|N
consumption|N
contact|N,V
contain|V
container|N
contemporary|Adj,N
content|N,Adj,V
contest|N,V
context|N
continue|V
continued|V
contract|N,V
contrast|N
contribute|V
contribution|N
controversial|Adj
controversy|N
convention|N
conventional|Adj
conversation|N
convert|V,N
conviction|N
cookie|N
cooking|N,V
cooperation|N
cop|N
cope|N
corner|N
corporate|V
corporation|N
correspondent|N
could|Modal
council|N
counselor|N
count|V,N
counter|N,V,Adv
county|N
courage|N
court|N
coverage|N
cow|N
create|V
creation|N
creative|Adj
creature|N
criminal|Adj
crisis|N
criteria|N
critical|Adj
criticism|N
criticize|V
cultural|Adj
currently|Adv
curriculum|N
customer|N
cut|V,N,Adj
daily|Adv
dangerous|Adj
dare|N
dark|Adj
darkness|N
data|N
date|N,V
dead|Adj
dealer|N
dear|Adj
death|N
debt|N
decision|N
deck|N
declare|V
deep|Adj
deeply|Adv
defeat|V,N
defend|V
defendant|N
defensive|Adj
deficit|N
definitely|Adv
definition|N
delivery|N
democracy|N
democratic|Adj
demonstrate|V
demonstration|N
department|N
dependent|Adj
depending|V
depict|V
depression|N
description|N
deserve|V
designer|N
desire|N
