a|Det,N
abroad|Adv,Adj
accept|V
active|Adj
admire|V
adopt|V
advise|V
affect|V,N
after|Prep,Adv
agency|N
agenda|N
ago|Adv,Adj
aid|N,V
aide|N
alive|Adj
ally|N,V
along|Prep,Adv
an|Det
and|Conj
anyone|Pron
anyway|Adv
appeal|N
apply|V
appointment|N
are|V
arise|V
aside|Adv,N
asleep|Adj
assert|V
assess|V
assign|V
assure|V
attach|V
award|N
back|N,V,Adj,Adv
bad|Adj
badly|Adv
bake|V,N
ban|N
band|N
bank|N
basis|N
bear|N
beat|N
bed|V
beer|N
being|N,V
belief|N
bell|N
belong|V
bend|V
beside|Prep,Adv
bet|N
big|Adj
bill|N
bit|N
bite|N
block|N
blow|N
bond|N
boom|N
boot|N
born|V,Adj
both|Det,Pron
bother|V
bottle|N
bowl|N
branch|N
break|N
breast|N
breath|N
broad|Adj
buck|N
bunch|N
burn|V
bury|V
but|Conj
button|N
buy|V
campus|N
cancer|N
cap|N
care|N,V
career|N
cast|N
cell|N
center|N
chain|N
chance|N
chart|N
cheek|N
chip|N
church|N
cite|V
class|N
clear|Adj
closer|N
clue|N
coal|N
coat|N
cold|Adj
comedy|N
commit|N
cookie|N
cop|N
cope|N
corner|N
could|Modal
count|V,N
county|N
court|N
cow|N
create|V
crisis|N
cut|V,N,Adj
daily|Adv
dare|N
dark|Adj
data|N
date|N,V
dead|Adj
dealer|N
dear|Adj
death|N
debt|N
deck|N
deep|Adj
deeply|Adv
defeat|V,N
defend|V
depict|V
desire|N
die|V,N
dig|V,N
dining|N,V
dirty|Adj,V
do|Aux
does|Aux
doubt|N
down|Adv,Prep,Adj,V,N
dozen|Adj
drag|N
driver|N
drug|N
due|Adj,N,Adv
each|Det
ear|N
ease|N
eat|V,N
editor|N
effect|N
email|N,V
elect|V,Adj
ethnic|Adj
even|Adv
event|N
ever|Adv
every|Det
exceed|V
except|Prep
expert|N,Adj
extent|N
fact|N
factor|N
fail|V,N
fair|Adj
fairly|Adv
far|Adj
farmer|N
fast|Adj
fate|N
favor|N,V
fear|N,V
fellow|N
fewer|N
fifth|N
fifty|N
fight|V,N
fill|V,N
five|Adj
flesh|N
flow|N
folk|N
for|Prep
form|N
formal|Adj
former|N
forth|N
four|N
fourth|N
free|Adj
freeze|N
from|Prep
fw|N
fwd|N
fyi|N
full|Adj
fully|Adv
fund|N
gang|N
gear|N
gender|N
gene|N
gently|Adv
get|V
gifted|Adj
given|Adj
global|Adj
goal|N
golden|Adj
golf|N
grade|N
grand|N
grave|Adj
gray|Adj
ground|N
growth|N
guest|N
guilty|Adj
guy|N
hall|N
handle|V,N
hang|V,N
happen|V
hardly|Adv
hate|V
hear|V,N
heat|N
heaven|N
heel|N
hell|N
here|Adv
hey|Intj
hi|Intj
hide|V,N
highly|Adv
hit|V,N
holy|Adv
honest|Adj
honor|N,V
hot|Adj
house|N
how|Adv
hunter|N
ideal|Adj
important|Adj
imply|V
indeed|Adv
insist|V
intend|V
is|V
its|Det
itself|Pron
jail|N
jet|N
joint|Adj
jury|N
kill|V,N
killer|N
king|N
lack|N
land|N
lap|N
last|Adj
late|Adj,Adv
latter|N
launch|N
lawyer|N
lay|Adj
lead|V,N
league|N
lean|N
least|N
legacy|N
less|Adj
let|V
lie|N
likely|Adj
line|N
lip|N
listen|V
living|Adj,N,V
locate|V
look|V,N
loose|Adj
lose|V
loss|N
lost|Adj
lot|N
lots|N
lovely|Adv
lover|N
low|Adj
lower|N
luck|N
lung|N
mainly|Adv
maker|N
makeup|N
male|Adj
mall|N
manner|N
many|N
map|N
mark|N
marry|V
may|Modal
maybe|N
mayor|N
meal|Adj
meeting|N
medium|Adj
meet|N
mental|Adj
mere|Adj
merely|Adv
mess|N
meter|N
might|Modal
mine|N
mode|N
modern|Adj
modest|Adj
money|N
mood|N
most|Det
mostly|Adv
mount|N
mouth|N
murder|N
naked|Adj
native|Adj
nearby|Adj,Adv
nearly|Adv
new|Adj
newly|Adv
nine|N
nobody|Pron
nod|N
none|N
nor|Conj
not|Adv
notion|N
occupy|N
odd|Adj
odds|N
onto|Prep
origin|N
others|N
ought|Modal
our|Det
out|Adv,Prep,Adj,V,N
owe|N
pace|N
pack|V,N
pain|N
paint|N
pale|Adj
pan|N
pant|N
part|N
